No,Slot,Keywords,Formula,Length,Good Example,Bad Example,Truth Constraint
1,h1-headline,"headline, h1, hero copy, main claim, tagline",[Specific offer] for [specific audience] + the differentiating qualifier,6-12 words,"Chest, lung and sleep medicine in Bhopal","Your health, our priority","The claim must be something the client actually delivers today, not aspirationally"
2,hero-subhead,"subhead, supporting line, deck, standfirst",Who it is for + what changes + the proof anchor,15-30 words,"Consultation, testing and bronchoscopy for asthma, COPD and sleep apnoea. 18 years of practice, MD in Chest Medicine.","We provide world-class healthcare solutions with cutting-edge technology and a patient-first approach","Every number and credential in the subhead must appear again, sourced, later on the page"
3,eyebrow,"eyebrow, kicker, label, overline",Category or context word; never a sentence,1-4 words,"Interventional pulmonology","Welcome to our website","Must describe the section accurately; not a keyword-stuffing slot"
4,cta-label,"cta, button, action label, primary action",Verb + the object the visitor receives,2-4 words,"Book a consultation","Click here","The label must match exactly what happens next. 'Book' must lead to booking, not a contact form"
5,cta-reassurance,"reassurance, microcopy, under button, friction reducer",What happens after the click + the timeframe you can meet,8-16 words,"Confirmation within one working day. No payment required to hold a slot.","We will get back to you as soon as possible","Never promise a response time the client has not agreed to"
6,section-h2,"section heading, h2, section title","The question the section answers, phrased as the visitor thinks it",3-8 words,"Before you visit","Our Core Values","One idea. If it needs 'and', it is two sections"
7,service-card,"service, offering, card copy, treatment, capability",[What it is] + [who it is for or when it applies],12-25 words,"Sleep study. Overnight monitoring for snoring, daytime sleepiness and suspected apnoea.","Comprehensive solutions tailored to your unique needs","Only list services actually offered at the stated locations"
8,credential-line,"credential, qualification, degree, certification, licence",[Qualification] + [issuing institution] + [year],under 15 words,"MD Chest Medicine, Bombay Hospital Institute of Medical Sciences, 2008","Highly qualified and experienced","Client-supplied and verifiable. Never generate, infer, or expand an abbreviation you have not been given"
9,proof-number,"stat, number, metric, figure, impact",[Figure] + [unit] + [what it counts] + [period or source],under 12 words,"4,200 bronchoscopies performed, 2007-2025","Thousands of happy patients","Requires a period and a source. Unsourced numbers do not ship"
10,faq-answer,"faq answer, objection, question response",Direct answer in sentence one; the qualifier or exception in sentence two,25-60 words,"Yes. Walk-ins are seen between 10am and 12pm on weekdays, though booked appointments are prioritised. Evening slots are appointment-only.","Please contact us for more information regarding our availability","Answers must survive being quoted alone in a search result or an AI answer"
11,about-bio,"bio, about, profile, founder story","Facts first: role, years, training, focus. Character second: why this work.",120-250 words,"Dr. Sharma has practised respiratory medicine for 18 years, training at NITRD Delhi and teaching at RKDF Medical College.","With a passion for excellence and a commitment to innovation, we strive to be the best","Third-person or first-person consistently. No unverifiable superlatives"
12,product-description,"product copy, flavour, item description, variant",Sensory or functional specifics + the material fact,15-40 words,"Kala khatta. Black salt, cumin and jamun syrup, carbonated hard. 200ml returnable glass.","A delightful taste experience that will tantalise your senses","Ingredients and volumes must match the label. No health or nutrition claims without label evidence"
13,privacy-note,"privacy, data note, consent, form footer",What is collected + what it is used for + who sees it,15-30 words,"We use your number only to confirm this appointment. It is not shared or added to any marketing list.","Your privacy is important to us","Must describe the actual data flow. If the form emails a third-party inbox, say so"
14,error-message,"error, validation, failure state, retry",What went wrong + what the visitor can do now + the fallback channel,10-25 words,"That did not send. Try again, or call +91 83490 31096 — the line is open until 6pm.","An error occurred","Never blame the visitor. Always provide a second route to the same outcome"
15,empty-state,"empty, no results, nothing here, zero state",What is missing + the reason + the next useful action,10-25 words,"No stockists in Indore yet. Nearest is Bhopal, 190km — or order online.","No data found","Do not present an empty state as a temporary loading state"
16,legal-disclaimer,"disclaimer, regulated, medical claim, financial claim",State the limit of the claim plainly in the visitor's language,20-50 words,"This page describes services offered. It is not medical advice and does not replace consultation.","Results may vary","Draft for the client to review. Never assert compliance with a regulation you have not verified"
