No,Pattern,Keywords,Use When,Asset Spec,Libraries,Implementation,Fallback,Budget,Checks,Anti-pattern
1,product-hero-glb,"product 3d, bottle, can, device, packshot, glb, hero model, rotate product",The visitor's decision depends on the object's form and the product is the brand,"Single GLB, Draco or Meshopt compressed, under 40k triangles, one PBR material, textures 1024px max, Y-up, origin at base centre, real-world scale in metres","three, @react-three/fiber, @react-three/drei (useGLTF, Environment, Center), meshopt or draco decoder","Dynamic-import the Canvas component. useGLTF.preload only after the hero paints. Wrap in Suspense with the poster as fallback. dpr={[1, 2]}, frameloop='demand' with invalidate on interaction","Poster PNG/WebP rendered from the same camera and lighting at the exact final composition, served at the same aspect ratio","GLB under 800KB compressed, 3D JS chunk under 350KB gzip, excluded from initial route weight, first frame within 2s on a throttled 4G profile","Network panel shows no three.js in the initial chunk; poster visible before the model; no CLS when the canvas mounts; GPU idle when the section is offscreen","Putting the Canvas at the root of App so three.js loads on every page including the ones with no 3D"
2,scroll-driven-model,"scroll 3d, model scrub, exploded view, assembly, rotate on scroll, storytelling",A sequence must be understood in order and each step maps to a scroll position,"Same as product-hero-glb plus named nodes for every animated part, or a baked glTF animation clip","three, @react-three/fiber, gsap ScrollTrigger","Drive object rotation/position through refs inside a ScrollTrigger onUpdate and call invalidate(). Never route scroll progress through React state","Static image sequence of 3-5 key frames as a normal figure list with captions describing each step","Same as product-hero-glb; scrub must hold 60fps on a mid-range phone or drop to the image sequence","Frame timing under scroll; keyboard users can reach every step's information in text; pinned section not clipped at 360px","Re-rendering the React tree on every scroll frame by calling setState from onUpdate"
3,configurator-variants,"configurator, variants, colourways, customise, material swap, options",The visitor genuinely chooses between options that change what they receive,"One GLB with swappable materials or morph targets; never one GLB per variant when only colour changes","three, @react-three/fiber, drei useTexture","Preload only the default variant. Swap material colour/map on selection. Keep the selection in URL state so a configuration is shareable","Static images of each variant in a normal radio-group gallery with the same labels","Base GLB under 1MB; each additional texture set under 200KB; variant switch under 150ms","Selection state announced; variants distinguishable without colour vision; URL restores the configuration; texture memory does not grow per switch","Loading every variant texture up front so the first paint pays for options nobody selects"
4,ambient-shader-backdrop,"gradient mesh, shader background, ambient, noise, aurora, blob, atmosphere",Rarely. Only when a flat CSS gradient genuinely cannot express the identity,"No model. A single full-screen quad with a fragment shader; no textures","three or ogl, or a 2D canvas alternative","Single plane, no post-processing, capped DPR at 1.5, pause via IntersectionObserver, pause on document.hidden","CSS gradient or a static WebP of one shader frame — visually near-identical at a fraction of the cost","Under 60KB JS; must not appear in the initial chunk; zero GPU work when offscreen","Battery and GPU profile with the tab backgrounded; contrast of overlaid text against the animated extremes","Shipping 500KB of three.js to render a moving gradient that a 12KB CSS animation would have matched"
5,model-viewer-embed,"model-viewer, web component, ar, quick look, simple 3d, no framework",A single model needs viewing and possibly AR without a custom scene,"GLB plus USDZ when iOS AR is required; both from the same source asset","@google/model-viewer","Lazy-load the script with loading='lazy' and a poster attribute. Set camera-controls, ar, and a descriptive alt","The poster attribute is the built-in fallback; also provide the product photograph in the page","Component script under 150KB gzip lazy-loaded; GLB under 800KB","AR entry works on a real device or is hidden; poster shown before interaction; alt text describes the object","Using model-viewer for a scene that needs custom lighting and materials, then fighting the component"
6,room-360-panorama,"360, panorama, virtual tour, equirectangular, room view, walkthrough",A space must be judged before a visit and photographs cannot convey the volume,"Equirectangular JPEG/WebP, 4096x2048 maximum, progressive, one per viewpoint","three sphere mesh with BackSide material, or a panorama web component","Load the low-resolution version first and swap to full resolution after interaction. Provide viewpoint navigation as buttons not only hotspots in the sphere","A normal photo gallery of the same space with captions per viewpoint","Each panorama under 600KB at full resolution; low-res preview under 60KB","Drag and arrow-key navigation both work; viewpoint labels are text; no motion sickness trigger from auto-rotation under reduced motion","Auto-rotating panoramas that start moving without a user gesture"
7,text-and-geometry-hero,"3d text, extruded type, geometric hero, abstract shapes, brutalist 3d","Only when the typography itself is the product (type foundry, studio identity)","Geometry generated in code; no external model. Fonts converted to typeface JSON only if extrusion is essential","three, @react-three/fiber, drei Text3D or Text",Generate geometry once and memoise. Prefer drei Text (SDF) over Text3D for readable copy,"The same words as real HTML text styled with CSS — which is also what search engines and screen readers need","Under 200KB JS; the words must exist in the DOM as text regardless","The headline text is present in view-source; contrast measured on the rendered result; no reliance on the canvas for meaning","Rendering the h1 only inside WebGL, making the page's main claim invisible to crawlers and assistive technology"
8,particle-field,"particles, points, dust, stars, confetti, field",Almost never on a microsite. Only when the particles encode real data or brand-critical material,"Procedural point cloud; no asset","three Points with BufferGeometry","Cap at 5000 points on mobile and 20000 on desktop. Single draw call, additive blending off unless needed, no per-frame allocation","Static noise texture or nothing at all","Under 80KB JS; frame budget under 4ms on a mid-range phone","Frame timing with the CPU throttled 4x; battery drain over 60 seconds; disabled entirely under reduced motion","Allocating a new Float32Array inside the render loop, producing garbage-collection stutter every few seconds"
9,poster-first-loader,"poster, placeholder, loading strategy, progressive, suspense, lazy canvas",Every WebGL section — this is the required wrapper for all patterns above,"Poster image at the canvas aspect ratio in WebP with a PNG fallback, rendered from the actual scene","IntersectionObserver, React.lazy or dynamic import","Render the poster as a normal img with width/height attributes. Observe the section; on first intersection dynamic-import the canvas and cross-fade once loaded. Keep the poster mounted until the first frame renders","The poster is the fallback: it stays if WebGL is unsupported, if the import fails, if reduced motion is set, or if deviceMemory is under 4","Zero 3D bytes until intersection; no CLS at swap because both share the same box","Throttled 4G first-paint check; DevTools WebGL disabled; prefers-reduced-motion set; import forced to fail","Rendering a spinner instead of a poster, so the section is a blank box during the entire model download"
10,capability-gate,"webgl detect, fallback detection, save-data, device memory, capability, feature detect",Every WebGL section — decides whether the 3D mounts at all,"No asset","None; plain platform APIs","const ok = (() => { try { return !!document.createElement('canvas').getContext('webgl2'); } catch { return false; } })(); const lean = navigator.connection?.saveData || (navigator.deviceMemory ?? 8) < 4 || matchMedia('(prefers-reduced-motion: reduce)').matches; mount3D = ok && !lean;","Poster path taken whenever the gate returns false","Zero cost; runs before any 3D import","Verify each branch by forcing it: disable WebGL, emulate Save-Data, set deviceMemory, enable reduced motion","Assuming WebGL availability and catching the failure with a try/catch that leaves an empty container"
