No,Recipe,Keywords,Intensity Tier,Trigger,Duration,Easing,Snippet,Reduced Motion End State,Cleanup,Performance Notes,Failure Mode
1,lenis-setup,"lenis, smooth scroll, scroll proxy, inertia, scroller",foundation,page load,n/a,n/a,"const lenis = new Lenis({ duration: 1.05, smoothWheel: true }); lenis.on('scroll', ScrollTrigger.update); gsap.ticker.add((t) => lenis.raf(t * 1000)); gsap.ticker.lagSmoothing(0);","if (matchMedia('(prefers-reduced-motion: reduce)').matches) { /* skip Lenis entirely, use native scroll */ }","lenis.destroy(); gsap.ticker.remove(rafFn); ScrollTrigger.killAll();",One rAF loop shared with GSAP. Never run lenis.raf in a second requestAnimationFrame loop,"Two scroll systems fighting: anchor links jump then drift, and ScrollTrigger positions drift by a frame"
2,hero-stagger-in,"hero, entrance, headline, stagger, first paint, opening",tier-1-restrained,page load after fonts ready,600-800ms,power3.out,"await document.fonts.ready; gsap.from('[data-hero] > *', { y: 24, opacity: 0, duration: 0.7, stagger: 0.08, ease: 'power3.out' });",Elements render at their natural position with no gsap.from call; never start from opacity 0 in CSS,"tl.kill() on unmount",Use gsap.from so the resting state is the HTML state and the content is visible without JS,"Starting state written in CSS as opacity:0 means the hero stays blank forever if the script fails"
3,fade-in-stagger,"fade in, reveal, on scroll, appear, stagger, generic reveal",tier-1-restrained,ScrollTrigger start top 85%,500-600ms,power2.out,"ScrollTrigger.batch('[data-reveal]', { start: 'top 85%', once: true, onEnter: (els) => gsap.from(els, { y: 20, opacity: 0, duration: 0.55, stagger: 0.07, ease: 'power2.out' }) });",Elements visible at rest; skip the batch registration entirely,"ScrollTrigger.getAll().forEach(t => t.kill())",ScrollTrigger.batch groups nearby elements into one tween instead of creating one trigger per node,"One ScrollTrigger per card on a 60-card page: hundreds of triggers recalculating on every resize"
4,card-reveal-stagger,"cards, grid, services, products, tiles, staggered cards",tier-2-editorial,ScrollTrigger start top 80%,500-700ms,power2.out,"gsap.from('[data-card]', { scrollTrigger: { trigger: '[data-cards]', start: 'top 80%', once: true }, y: 28, opacity: 0, duration: 0.6, stagger: { each: 0.06, from: 'start' }, ease: 'power2.out' });",Grid rendered fully; no tween,"trigger.kill(true)",Stagger the whole grid from one trigger. Cap total stagger duration at ~600ms or the last card feels broken,"Per-card triggers make the last card animate long after the visitor has scrolled past it"
5,text-line-reveal,"split text, line reveal, mask, headline, typography reveal, clip",tier-3-cinematic,ScrollTrigger start top 80%,700-900ms,expo.out,"const split = new SplitText(el, { type: 'lines', linesClass: 'line' }); gsap.from(split.lines, { yPercent: 110, duration: 0.85, stagger: 0.08, ease: 'expo.out', scrollTrigger: { trigger: el, start: 'top 80%', once: true } });",Original text node untouched; do not split at all under reduced motion,"split.revert() on unmount and before re-split on resize",Re-split on resize breakpoint change only. Splitting requires overflow-hidden wrappers per line,"Split text left in the DOM breaks screen-reader reading and text selection if revert is never called"
6,scroll-reveal-alternating,"alternating rows, zigzag, media text, feature rows",tier-2-editorial,ScrollTrigger start top 75%,600ms,power2.out,"gsap.utils.toArray('[data-row]').forEach((row, i) => gsap.from(row.querySelectorAll('[data-media],[data-copy]'), { x: i % 2 ? 32 : -32, opacity: 0, duration: 0.6, stagger: 0.1, ease: 'power2.out', scrollTrigger: { trigger: row, start: 'top 75%', once: true } }));",Rows at rest; no horizontal offset,"kill each trigger in the returned cleanup",Horizontal offsets must be small enough not to create a scrollbar; use transform not left,"x offsets on a full-width row create horizontal overflow on mobile"
7,image-parallax-scrub,"parallax, image, depth, scrub, background shift",tier-2-editorial,ScrollTrigger scrub,scrub 0.5,none (linear),"gsap.to('[data-parallax] img', { yPercent: 12, ease: 'none', scrollTrigger: { trigger: '[data-parallax]', start: 'top bottom', end: 'bottom top', scrub: 0.5 } });",No tween; image static in its container,"trigger.kill()",Image must be 12-15% taller than its overflow-hidden container or the parallax exposes an edge,"Parallax on an image sized exactly to the container reveals background at scroll extremes"
8,ken-burns-slow,"ken burns, slow zoom, hero image, atmosphere, drift",tier-3-cinematic,in view,12-20s loop,none,"gsap.to('[data-kenburns]', { scale: 1.08, duration: 16, ease: 'none', repeat: -1, yoyo: true });",scale 1 and no repeat,"tween.kill() when the section leaves the viewport",Pause when offscreen with ScrollTrigger toggleActions or an IntersectionObserver; a permanent loop burns battery,"An infinite tween on a 4000px hero image keeps the compositor busy on every frame for the whole session"
9,parallax-product-float,"floating product, hover drift, packshot, gentle motion",tier-2-editorial,in view plus pointer,4-6s loop,sine.inOut,"gsap.to('[data-float]', { y: -12, duration: 5, ease: 'sine.inOut', repeat: -1, yoyo: true });",y 0 and no repeat,"tween.kill()",Amplitude under 16px. Combine with a pointer-driven tilt capped at 6 degrees,"Large-amplitude float makes the product feel unstable and causes overlap at small viewports"
10,pinned-scrub,"pin, sticky section, scrub, storytelling, scroll driven",tier-3-cinematic,ScrollTrigger pin with scrub,scrub 1,none,"ScrollTrigger.create({ trigger: '[data-pin]', start: 'top top', end: '+=120%', pin: true, scrub: 1, animation: tl, anticipatePin: 1, invalidateOnRefresh: true });",No pin; the section reads as a normal stacked block,"trigger.kill(true) and ScrollTrigger.refresh() after layout changes",At most one pinned section per page. Pin length must be a multiple of viewport height not a pixel constant,"Pinned section shorter than its content on mobile clips the last lines with no way to reach them"
