No,Section,Keywords,Purpose,Content Slots,Layout,Motion Recipe,Required States,Accessibility Notes,Common Failure,Copy Rule
1,hero-statement,"hero, hero-statement, typographic hero, headline, above the fold, opening, masthead",Say what this is and for whom in one screen without scrolling,"eyebrow, h1 (6-12 words), subhead (15-25 words), primary CTA, secondary CTA, trust line, ambient media",Single column on mobile; asymmetric 7/5 split or centred stack above 1024; full-viewport only when the content genuinely fills it,hero-stagger-in with immediate end state under reduced motion,"default, slow-connection (text visible before media), reduced-motion","h1 is the only h1 on the page; CTA is a real link or button with an accessible name; ambient video is muted, aria-hidden and has a poster",Hero copy hidden behind a JS reveal so it is blank on slow connections,"State the specific offer and audience. No 'Welcome to', no 'We are passionate about', no adjective stack without a noun"
2,hero-product,"hero product, product hero, bottle, can, device, packshot, product-forward",Make the physical object the argument,"h1, one-line positioning, product visual or canvas, variant selector, primary CTA, provenance line",Product centred with copy above and below on mobile; product right or centre with copy left on desktop; keep the product optically centred not mathematically,parallax-product-float or webgl-hero-orbit with static poster fallback,"poster (pre-hydration), loaded, no-webgl, reduced-motion, load-error",Canvas is aria-hidden with the product described in text; variant selector is a radio group with visible labels not colour-only swatches,3D in the initial chunk so first paint waits on the model,"Name the product and what it tastes/feels/does like. Describe the object, do not narrate the brand's feelings about it"
3,hero-place,"hero place, atmosphere, venue, property, campus, immersive hero, event hero, cinematic",Transport the visitor into the space or occasion,"h1, place or date line, one-line promise, primary CTA, wide photograph or video, location and hours summary",Full-bleed media with a legible overlay panel; never centre long copy over a busy image,ken-burns-slow or image-parallax-scrub with a static frame under reduced motion,"default, image-loading (blurred placeholder of correct aspect ratio), reduced-motion, video-unsupported",Contrast of overlay text against the darkest and lightest region of the image; captions for any spoken audio,Layout shift when the hero image loads because no aspect ratio was reserved,"Anchor in place and time. Give the city, the date, or the neighbourhood in the first two lines"
4,credential-strip,"credential strip, trust bar, logos, accreditation, affiliation, social proof strip, as seen in, memberships, integrations, integration logos, partners, sponsors, backers",Compress verifiable third-party credibility into one glanceable band,"3-8 credential items: institution, qualification, membership or client logo, each with a year or context",Horizontal row above 768 wrapping to a two-column grid on mobile; marquee only when items exceed the row and the marquee is pausable,marquee-pausable or fade-in-stagger; static row under reduced motion,"default, reduced-motion, logo-missing (text fallback)",Logos need meaningful alt text; a pausable marquee needs a visible pause control and must not auto-scroll under reduced motion,Grey unlabelled logos that a visitor cannot identify and that assert a relationship that does not exist,Every item must be independently verifiable. Include the issuing body and year. Never display a logo without permission
5,offering-grid,"services, specialties, capabilities, flavours, products, programmes, amenities, treatments, what we do, grid, conditions treated, conditions, ailments, procedures list, facilities, technology, equipment, flavour, lineup, rooms, suites, key benefits, benefits, project highlights, highlights, ways to help, ways to give, product or capability",Show the full span of what is offered so the visitor finds themselves,"section h2, intro line, 3-12 cards each with icon or image, title, 1-2 line description, optional link","2 columns at 768, 3 at 1024, 4 only when card content is short; equal card heights via grid not fixed pixel heights",card-reveal-stagger with 60-80ms offset; cards visible immediately under reduced motion,"default, hover, focus-visible, card-link-active, reduced-motion",Each card is one link or has one link; do not nest interactive elements; icons are aria-hidden with the title carrying meaning,Twelve identical cards with no hierarchy so nothing is chosen,"Lead each card with the visitor's problem, not the internal service name. One sentence, no marketing adjectives"
6,offering-detail,"detail, deep dive, procedure, case study, how it is made, craft process, feature detail, methodology, procedures, treatment detail, ingredient story, provenance, materials, sourcing, what is coming, teaser, preview",Prove depth on the two or three offerings that actually convert,"h2, narrative body (120-250 words), supporting image or diagram, bullet specifics, related CTA",Alternating text/media rows above 1024; stacked with media first on mobile; cap measure at 65-75 characters,scroll-reveal-alternating or pinned-scrub for a genuine step sequence,"default, image-loading, reduced-motion, long-content-overflow","Diagrams need a text equivalent; alternating layouts must keep DOM order matching reading order, not rely on visual reordering",Visual order reversed with CSS so keyboard and screen-reader order becomes nonsense,"Explain the mechanism in the visitor's vocabulary. Specifics beat superlatives: name the equipment, the duration, the material"
7,process-steps,"how it works, process, steps, what to expect, visit process, admissions process, journey, timeline of a visit",Remove uncertainty about what happens after the visitor acts,"h2, 3-5 numbered steps each with title, one-line description, duration or cost note where known",Vertical list with a connector line on mobile; horizontal or diagonal stepper above 1024,step-line-draw-scrub or sequential-reveal; full list shown under reduced motion,"default, reduced-motion, step-focus",Use an ordered list; the connector is decorative and aria-hidden; step numbers must be in the text not only in a background image,Steps that describe internal workflow instead of the visitor's experience,"Write from the visitor's point of view: 'You arrive', 'We test', 'You get results in 24 hours'. Include time and cost honesty"
8,proof-numbers,"numbers, stats, impact, outcomes, placements, counter, metrics, results, by the numbers",Convert scale or outcome into a number the visitor can weigh,"h2, 3-4 figures each with value, unit, label and a source or period note",Row of 3-4 above 768; 2x2 on mobile; number set in the display face at a size that dominates the label,count-up-once with the final value rendered in HTML and shown immediately under reduced motion,"default, reduced-motion, no-js (final value visible)",Announce the final value not the animating value; wrap each figure and label in a definition-style pairing so the label is programmatically associated,Count-up implemented so the DOM starts at zero and stays at zero without JS,Every number needs a period and a source. If the source cannot be named the number does not ship. Never round upward for effect
9,timeline,"timeline, heritage, since, history, milestones, experience, career, agenda, schedule, tour dates, show dates, upcoming dates, schedule of events",Show continuity or sequence over time,"h2, 5-12 entries each with year or time, title, one-line detail, optional image",Single vertical rail on mobile; alternating sides or horizontal scroll above 1024; horizontal scroll needs visible affordance and keyboard support,timeline-rail-scrub with entries revealed on approach; all entries visible under reduced motion,"default, reduced-motion, horizontal-scroll-start-and-end",Ordered list semantics; horizontal scrollers must respond to arrow keys and not trap focus; never rely on drag alone,Horizontal timeline that is unreachable by keyboard and invisible on mobile,Each entry must be a documented event. No decorative filler years. Use the same date granularity throughout
10,people-panel,"team, doctors, faculty, speakers, staff, panel, practitioners, who we are",Put identifiable humans behind the promise,"h2, 3-12 people each with photograph, name, role, one credential line, optional profile link",3 columns at 1024 and 2 at 768; portraits at a single consistent aspect ratio and crop,card-reveal-stagger; static grid under reduced motion,"default, hover, focus-visible, image-missing (initials placeholder), reduced-motion",Portrait alt text is the person's name; role is text not an image; profile links have unique accessible names,Placeholder or stock faces standing in for real staff,"Name, role, one verifiable credential. No invented bios, no former staff, no stock photography of people who do not work here"
