No,Archetype,Keywords,Audience,Primary Action,Section Order,Motion Tier,WebGL Use,Schema Types,Brand Kit,Stack Recipe,Budget Tier,Proof Requirements,Exclusions
1,practitioner-authority,"doctor, physician, surgeon, dentist, therapist, lawyer, consultant, clinic, practice, specialist, chest, pulmonologist, authority, credentials",Patient or client deciding whom to trust with a high-stakes problem,"Book a consultation via tel: and WhatsApp deep link, with clinic address and hours","hero-statement, credential-strip, conditions-treated, procedures, how-a-visit-works, clinic-locations, faq-objections, about-practitioner, contact-action","tier-2-editorial",none,"Physician, MedicalClinic, MedicalWebPage, FAQPage",clinical-authority,vite-react-spa-prerendered,standard,"Registration number, degrees with issuing institution, hospital affiliations, years in practice, languages, verified clinic address and phone","No patient testimonials, no outcome or cure claims, no online payment, no PHI collection in forms, no comparative superiority claims"
2,clinic-multi-specialty,"hospital, multi-specialty, diagnostic centre, dental clinic, eye care, ivf, physiotherapy, department, doctors panel",Patient choosing a facility and a department,"Call the central desk or open the department page, then book","hero-statement, specialties-grid, doctor-panel, facilities-technology, insurance-and-fees, visit-process, locations-map, faq-objections, contact-action","tier-2-editorial",none,"MedicalClinic, MedicalOrganization, Physician, FAQPage",clinical-authority,nextjs-static,standard,"Facility registration, department heads, equipment inventory, accreditation certificates, verified timings per location","No emergency triage advice, no diagnosis tooling, no patient record portal in scope"
3,consumer-brand-cpg,"beverage, soda, drink, snack, food brand, packaged goods, cpg, flavours, bottle, can, fmcg, heritage brand",Retail shopper and stockist discovering the brand,"Find a stockist or open the shop link; secondary is following the brand","hero-product, flavour-lineup, ingredient-story, heritage-timeline, product-3d-showcase, stockist-locator, press-mentions, newsletter-or-social, footer-action","tier-4-spectacle",product-hero-glb,"Brand, Organization, Product, ItemList",playful-pop,vite-react-spa-prerendered,webgl-centrepiece,"Founding year evidence, ingredient list, certifications or licences, real stockist list, packaging photography rights","No fabricated review counts, no health or nutrition claims without label evidence, no checkout unless commerce is in scope"
4,restaurant-cafe,"restaurant, cafe, bistro, bar, kitchen, chef, menu, reservation, dining, bakery, food service",Diner deciding where to eat tonight or this weekend,"Reserve a table or call; secondary is view the menu and directions","hero-atmosphere, menu-highlights, full-menu, chef-story, gallery, hours-and-location, reservation-action, faq-objections","tier-3-cinematic",none,"Restaurant, Menu, LocalBusiness, FAQPage",warm-editorial,astro-static,standard,"Current menu with prices, verified hours including holidays, address, licence details where displayed, food photography rights","No delivery integration unless requested, no live table availability without a provider, no invented awards"
5,hospitality-venue,"hotel, resort, homestay, villa, spa, retreat, banquet, wedding venue, rooms, suites, stay",Traveller comparing a small number of stays,"Check availability or enquire; secondary is view rooms and location","hero-place, rooms-suites, experiences-amenities, gallery-immersive, location-and-getting-here, rates-and-policies, enquiry-action, faq-objections","tier-3-cinematic",optional-360-room,"Hotel, LodgingBusiness, Room, FAQPage",warm-editorial,astro-static,image-heavy,"Room inventory and real rates, cancellation policy, verified amenities, licence or registration where required, photography rights","No live booking engine unless a provider is supplied, no price claims without dates, no stock imagery presented as the property"
6,studio-agency,"design studio, agency, creative, production house, architecture firm, portfolio, case study, capabilities, clients",Prospective client evaluating craft and fit,"Start a project enquiry; secondary is view a case study","hero-statement, selected-work, capabilities, process, case-study-detail, team, clients-and-recognition, contact-action","tier-4-spectacle",optional-canvas-texture,"Organization, ProfessionalService, CreativeWork",monochrome-brutal,vite-react-spa-prerendered,standard,"Real client names with permission to display, project dates and roles, awards with issuing body and year","No invented client logos, no NDA-breaking work, no team members who have left"
7,personal-portfolio,"portfolio, developer, designer, engineer, freelancer, resume, cv, personal site, about me, projects",Recruiter or client scanning for capability in under a minute,"Contact by email; secondary is view a project or download CV","hero-statement, selected-projects, capabilities, experience-timeline, writing-or-talks, about, contact-action","tier-2-editorial",optional-canvas-texture,"Person, CreativeWork, ProfilePage",monochrome-brutal,astro-static,lean,"Verifiable employers and dates, live project links, actual role on each project","No inflated titles, no team work claimed as solo, no dead project links"
8,product-launch-hardware,"hardware, gadget, device, product launch, industrial design, specs, pre-order, kickstarter, wearable, appliance",Early adopter deciding whether the product is real and worth waiting for,"Join the waitlist or pre-order; secondary is view specifications","hero-product, product-3d-showcase, key-benefits, feature-deep-dive, specifications-table, comparison, pricing-and-availability, faq-objections, waitlist-action","tier-4-spectacle",product-hero-glb,"Product, Offer, Organization, FAQPage",tech-precision,vite-react-spa-prerendered,webgl-centrepiece,"Actual specifications, real ship window, certification status, prototype vs production disclosure, render vs photo disclosure","No fabricated benchmarks, no fake countdown, no unit-count scarcity that is not enforced, no pre-order charge without fulfilment ability"
9,saas-marketing-landing,"saas, software, platform, tool, b2b, landing page, marketing site, pricing, signup, trial",Evaluator deciding whether to trial the product,"Start free trial or book a demo","hero-statement, social-proof-strip, problem-agitation, feature-deep-dive, how-it-works, integrations, pricing-tiers, faq-objections, cta-action","tier-2-editorial",none,"SoftwareApplication, Organization, Offer, FAQPage",tech-precision,nextjs-static,lean,"Real pricing, real integration list, customer logos with permission, security posture claims backed by actual controls","No fake customer counts, no invented uptime numbers, no compliance badge without certification, application UI is out of scope"
10,app-download,"mobile app, ios, android, app store, play store, download, fitness app, utility app",Phone-first visitor deciding to install,"Open the correct store link for the visitor device","hero-product, key-benefits, screens-carousel, how-it-works, privacy-promise, ratings-and-press, faq-objections, download-action","tier-3-cinematic",optional-device-mockup-3d,"MobileApplication, Organization, FAQPage",playful-pop,vite-react-spa-prerendered,standard,"Store listing URLs, real ratings from the store, privacy practice matching the store data-safety declaration","No fake review quotes, no unreleased platform badge, no ratings screenshot older than the current version"
