No,Schema,Keywords,Applies To,Required Properties,Template,Validation,Pitfalls
1,Physician,"doctor, physician, surgeon, specialist, practitioner, medical, consultant",practitioner-authority,"name, medicalSpecialty, hasCredential, worksFor or affiliation, address or availableService","{""@context"":""https://schema.org"",""@type"":""Physician"",""name"":""..."",""medicalSpecialty"":""Pulmonary"",""jobTitle"":""..."",""hasCredential"":""MBBS, MD"",""telephone"":""+91..."",""address"":{""@type"":""PostalAddress"",""streetAddress"":""..."",""addressLocality"":""..."",""addressRegion"":""..."",""postalCode"":""..."",""addressCountry"":""IN""},""worksFor"":{""@type"":""MedicalOrganization"",""name"":""...""}}",Google Rich Results Test plus validator.schema.org; every credential must also be visible on the page,Listing affiliations the practitioner no longer holds; using @type Person when the page is clearly a medical practice; credential strings that do not match the visible credential strip
2,MedicalClinic,"clinic, practice, chest centre, sleep centre, diagnostic, medical facility, MedicalWebPage, MedicalOrganization, Dentist, Hospital",practitioner-authority and clinic-multi-specialty,"name, address, telephone, openingHoursSpecification, medicalSpecialty","{""@context"":""https://schema.org"",""@type"":""MedicalClinic"",""name"":""..."",""medicalSpecialty"":""Pulmonary"",""telephone"":""+91..."",""address"":{""@type"":""PostalAddress"",""streetAddress"":""..."",""addressLocality"":""...""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":0,""longitude"":0},""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday""],""opens"":""10:00"",""closes"":""14:00""}],""employee"":{""@type"":""Physician"",""name"":""...""}}","Rich Results Test; confirm name, address and phone match the footer and any external listing exactly",Omitting openingHoursSpecification so the clinic never shows hours in search; geo coordinates guessed from the city centre rather than the actual door
3,LocalBusiness,"local, shop, salon, gym, garage, service area, near me, business, HealthClub, AutoRepair, HairSalon, HomeAndConstructionBusiness",local-service-trade and most physical premises,"name, address, telephone, openingHoursSpecification, priceRange or areaServed","{""@context"":""https://schema.org"",""@type"":""LocalBusiness"",""name"":""..."",""image"":[""https://.../og.jpg""],""telephone"":""+91..."",""priceRange"":""$$"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""..."",""addressLocality"":""...""},""areaServed"":{""@type"":""City"",""name"":""...""},""openingHoursSpecification"":[]}",Rich Results Test; NAP consistency check against any map listing,"Using a generic LocalBusiness where a specific subtype exists (Restaurant, Dentist, HealthClub) and losing the richer result"
4,Organization,"company, brand owner, studio, agency, nonprofit, firm, ProfessionalService, Corporation, agency, studio, firm",Every site as the site-level entity,"name, url, logo, sameAs, contactPoint","{""@context"":""https://schema.org"",""@type"":""Organization"",""name"":""..."",""url"":""https://..."",""logo"":""https://.../logo.png"",""sameAs"":[""https://instagram.com/...""],""contactPoint"":{""@type"":""ContactPoint"",""telephone"":""+91..."",""contactType"":""customer service""}}",validator.schema.org,sameAs pointing at profiles the organisation does not control; a logo URL that 404s in production because it was a dev path
5,Brand,"brand, product line, heritage, maker, label",consumer-brand-cpg and brand-heritage-story,"name, logo, slogan, foundingDate where documented","{""@context"":""https://schema.org"",""@type"":""Brand"",""name"":""..."",""logo"":""https://.../logo.svg"",""slogan"":""..."",""description"":""...""}",validator.schema.org,foundingDate asserted without documentation; Brand used where Organization is what search actually surfaces
6,Product,"product, sku, item, bottle, device, flavour, variant",consumer-brand-cpg and product-launch-hardware,"name, image, description, brand, offers or availability","{""@context"":""https://schema.org"",""@type"":""Product"",""name"":""..."",""image"":[""https://.../product.jpg""],""description"":""..."",""brand"":{""@type"":""Brand"",""name"":""...""},""offers"":{""@type"":""Offer"",""priceCurrency"":""INR"",""price"":""0.00"",""availability"":""https://schema.org/InStock"",""url"":""https://...""}}",Rich Results Test; offers must reflect an actual purchasable state,aggregateRating without real reviews is a policy violation and can trigger manual action; listing an Offer for a product with no purchase path
7,ItemList,"list, lineup, flavours, collection, range, catalogue",Lineup and grid sections,itemListElement with position and item or url,"{""@context"":""https://schema.org"",""@type"":""ItemList"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""name"":""..."",""url"":""https://...#item""}]}",validator.schema.org,Positions that do not match the visible order; linking to anchors that do not exist
8,FAQPage,"faq, questions, answers, objections",Any page with a genuine FAQ section,mainEntity array of Question with acceptedAnswer,"{""@context"":""https://schema.org"",""@type"":""FAQPage"",""mainEntity"":[{""@type"":""Question"",""name"":""..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""...""}}]}",Rich Results Test; the same text must be visible on the page without interaction beyond a disclosure,Marking up questions that are not on the page; using FAQPage for promotional copy rather than real questions; answers that only exist inside a collapsed panel injected by JS
9,Restaurant,"restaurant, cafe, bar, dining, menu, cuisine, FoodEstablishment, CafeOrCoffeeShop, BarOrPub",restaurant-cafe,"name, address, servesCuisine, menu, openingHoursSpecification, acceptsReservations","{""@context"":""https://schema.org"",""@type"":""Restaurant"",""name"":""..."",""servesCuisine"":[""...""],""menu"":""https://.../menu"",""acceptsReservations"":""True"",""priceRange"":""$$"",""address"":{""@type"":""PostalAddress""},""openingHoursSpecification"":[]}",Rich Results Test,acceptsReservations true with no reservation path; menu URL pointing at a PDF that is not crawlable
10,Event,"event, conference, festival, workshop, session, tour date",event-conference and tour dates,"name, startDate, endDate, eventAttendanceMode, eventStatus, location, offers, organizer","{""@context"":""https://schema.org"",""@type"":""Event"",""name"":""..."",""startDate"":""2026-01-01T09:00+05:30"",""endDate"":""2026-01-01T18:00+05:30"",""eventAttendanceMode"":""https://schema.org/OfflineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":{""@type"":""Place"",""name"":""..."",""address"":{""@type"":""PostalAddress""}},""offers"":{""@type"":""Offer"",""url"":""https://..."",""price"":""0"",""priceCurrency"":""INR"",""availability"":""https://schema.org/InStock"",""validFrom"":""2025-12-01""}}",Rich Results Test,Dates without a timezone offset; leaving eventStatus as scheduled after a postponement; past events left in the markup
