No,Kit,Keywords,Mood,Background,Surface,Ink,Muted Ink,Line,Accent,On Accent,Heading Font,Body Font,Mono Font,Type Scale,Radius,Shadow,Motion Tier,Texture,Best For,Avoid For
1,clinical-authority,"medical, clinic, doctor, healthcare, trust, calm, professional, precise, authority",Composed and unhurried; competence without coldness,#04090C,#0C1418,#F2F6F7,#9BAAB0,#1D2B31,#4FB3A6,#04090C,Figtree,Inter,IBM Plex Mono,"clamp(2.25rem, 1.4rem + 3.6vw, 4.5rem) display / 1rem-1.125rem body / 1.6 body leading",10px,"0 1px 2px rgb(0 0 0 / 0.24), 0 12px 32px rgb(0 0 0 / 0.28)",tier-2-editorial,"Hairline rules, generous negative space, one editorial serif accent (Instrument Serif) for pull quotes only","Practitioners, clinics, diagnostics, law, finance, education","Consumer FMCG, children's products, entertainment"
2,playful-pop,"beverage, snack, fun, loud, bold, retro, candy, vibrant, youthful, pop",Loud and warm; deliberately unserious,#FFF6E5,#FFFFFF,#1A1206,#6B5B3E,#E8DCC0,#D4380D,#FFFFFF,Bricolage Grotesque,DM Sans,DM Mono,"clamp(2.75rem, 1.5rem + 5vw, 6rem) display / 1.0625rem-1.1875rem body / 1.55 body leading",18px,"0 2px 0 #1A1206, 0 10px 24px rgb(26 18 6 / 0.12)",tier-4-spectacle,"Flat colour blocks, thick outlines, sticker shapes, halftone or paper grain at low opacity","Beverages, snacks, festivals, kids, apps with personality","Medical, legal, financial services, condolence or crisis contexts"
3,warm-editorial,"restaurant, hotel, heritage, artisan, hospitality, craft, homely, warm, magazine",Hospitable and considered; print-magazine calm,#FBF7F1,#FFFFFF,#211C16,#6B6055,#E3DACC,#8A3A1F,#FFFFFF,Fraunces,Karla,JetBrains Mono,"clamp(2.5rem, 1.5rem + 4vw, 5rem) display / 1.0625rem-1.125rem body / 1.65 body leading",4px,"0 1px 2px rgb(33 28 22 / 0.06), 0 16px 40px rgb(33 28 22 / 0.08)",tier-3-cinematic,"Full-bleed photography, wide margins, small-caps eyebrows, rules instead of boxes","Restaurants, hotels, heritage brands, nonprofits, publishing","Technical products, dashboards, high-density data"
4,monochrome-brutal,"studio, agency, portfolio, brutalist, editorial, swiss, stark, black and white, gallery",Confident and unadorned; the work carries the page,#0A0A0A,#141414,#FAFAFA,#8F8F8F,#2A2A2A,#E8FF47,#0A0A0A,Archivo,Inter,IBM Plex Mono,"clamp(3rem, 1.5rem + 6vw, 7.5rem) display / 1rem-1.0625rem body / 1.55 body leading",0px,none,tier-4-spectacle,"Oversized type as the only ornament, hard grid, one acid accent used sparingly, no gradients","Design studios, portfolios, music, fashion, film","Healthcare, government services, low-vision-heavy audiences without a light theme"
5,tech-precision,"saas, hardware, developer, engineering, product, technical, precise, modern, clean",Exact and current; engineered rather than decorated,#08090B,#101216,#EDEFF2,#98A0AC,#22262E,#5B8CFF,#05070A,Geist,Inter,Geist Mono,"clamp(2.25rem, 1.35rem + 3.8vw, 4.75rem) display / 1rem-1.0625rem body / 1.6 body leading",8px,"0 1px 1px rgb(0 0 0 / 0.3), 0 8px 24px rgb(0 0 0 / 0.35)",tier-2-editorial,"Subtle grid lines, mono labels for specs and metadata, single-hue gradients, no illustration","SaaS, hardware, developer tools, fintech, B2B","Wellness, children, artisanal food, heritage"
6,sunlit-pastel,"wellness, spa, beauty, skincare, calm, soft, pastel, serene, gentle, self care",Soft and unhurried; air and light,#FDF8F4,#FFFFFF,#2A2320,#6E6058,#EDE1D8,#A8563C,#FFFFFF,Instrument Serif,Inter,IBM Plex Mono,"clamp(2.5rem, 1.4rem + 4.4vw, 5.25rem) display / 1.0625rem-1.125rem body / 1.7 body leading",24px,"0 2px 6px rgb(42 35 32 / 0.05), 0 24px 60px rgb(42 35 32 / 0.07)",tier-2-editorial,"Rounded shapes, soft shadows, skin-tone photography, high leading, no hard borders","Wellness, beauty, spa, therapy, lifestyle","Engineering products, urgent or high-alert interfaces"
7,earthy-organic,"sustainable, farm, organic, natural, outdoors, eco, botanical, honest, made",Grounded and material; nothing synthetic,#F6F3EC,#FFFFFF,#1F241C,#5E6656,#DDD9CB,#3F6B3A,#FFFFFF,Bitter,Source Sans 3,IBM Plex Mono,"clamp(2.25rem, 1.4rem + 3.6vw, 4.5rem) display / 1.0625rem-1.125rem body / 1.65 body leading",6px,"0 1px 2px rgb(31 36 28 / 0.06), 0 14px 36px rgb(31 36 28 / 0.08)",tier-2-editorial,"Paper and textile texture at low opacity, hand-drawn marks used once, documentary photography","Food producers, sustainability, agriculture, outdoor, craft","High-tech products, luxury minimal, nightlife"
8,luxe-dark,"luxury, jewellery, watch, premium, fashion, exclusive, refined, gold, boutique",Restrained luxury; slow and deliberate,#0B0B0C,#141416,#F4F1EA,#9C968A,#26241F,#C9A75B,#0B0B0C,Cormorant Garamond,Jost,IBM Plex Mono,"clamp(2.75rem, 1.5rem + 5vw, 6rem) display / 1rem-1.0625rem body / 1.7 body leading",2px,"0 1px 0 rgb(255 255 255 / 0.04), 0 30px 80px rgb(0 0 0 / 0.5)",tier-3-cinematic,"Very high leading, letterspaced small caps, product on black, one metallic accent, no drop shadows on type","Jewellery, watches, fashion, private clubs, premium spirits","Mass-market retail, healthcare, children, discount messaging"
9,nordic-calm,"architecture, interiors, real estate, minimal, quiet, scandinavian, muted, spacious",Quiet and structural; the space is the subject,#F4F4F2,#FFFFFF,#1C1D1B,#63655F,#DFDFD9,#2F5E5B,#FFFFFF,Fraunces,Inter,IBM Plex Mono,"clamp(2.5rem, 1.5rem + 4vw, 5rem) display / 1rem-1.0625rem body / 1.65 body leading",2px,"0 1px 2px rgb(28 29 27 / 0.05), 0 18px 44px rgb(28 29 27 / 0.06)",tier-3-cinematic,"Large photography with generous margins, thin rules, muted single accent, no cards","Architecture, interiors, real estate, furniture, galleries","Conversion-heavy promotional pages, discount retail"
10,civic-clear,"government, education, nonprofit, public, accessible, plain, institutional, information",Plain and dependable; legibility before personality,#FFFFFF,#F5F7FA,#14181D,#525C68,#D5DBE3,#1F4FA3,#FFFFFF,Public Sans,Public Sans,IBM Plex Mono,"clamp(2rem, 1.3rem + 3vw, 3.75rem) display / 1.0625rem-1.1875rem body / 1.7 body leading",4px,"0 1px 2px rgb(20 24 29 / 0.08)",tier-1-restrained,"No decorative imagery without informational purpose, strong focus rings, generous target sizes","Public services, education, nonprofits, healthcare information","Fashion, nightlife, luxury, anything needing distinctive personality"
